Variant	Time (s.)
all	1280
all-p	1252
all-t	1445
p-hive	1237
p-hive-l	1275
p-hive-lm	1353
p-hive-m	1272
p-hive-p	1225
p-hive-plm	1000
p-hive-pm	1954
t-hive	1348
t-hive-l	1588
t-hive-lm	1814
t-hive-m	1307
t-hive-p	1492
t-hive-pl	1088
t-hive-plm	1388
t-hive-pm	1155
