Turns	0	1	2	3	4	5	6
1	46	0	0	0	0	0	0
2	36	10	0	0	0	0	0
3	6	21	19	0	0	0	0
4	0	27	11	8	0	0	0
5	0	16	16	14	0	0	0
6	0	12	26	7	1	0	0
7	0	11	25	7	3	0	0
8	0	8	26	8	4	0	0
9	0	8	20	12	5	1	0
10	0	10	19	10	5	2	0
11	0	9	16	12	8	1	0
12	0	8	15	13	9	1	0
13	0	7	13	15	7	4	0
14	0	7	15	13	6	5	0
15	0	6	14	15	7	4	0
16	0	5	15	15	5	6	0
17	0	5	14	11	11	5	0
18	0	5	16	10	11	4	0
19	0	3	15	13	8	7	0
20	0	4	13	18	7	4	0
21	0	5	13	12	12	4	0
22	0	4	15	14	6	7	0
23	0	4	12	15	9	6	0
24	0	5	11	11	9	10	0
25	0	4	11	9	13	9	0
