Turns	0	1	2	3	4	5	6
1	69	0	0	0	0	0	0
2	57	12	0	0	0	0	0
3	18	35	14	2	0	0	0
4	1	22	31	15	0	0	0
5	0	9	24	34	2	0	0
6	0	10	28	28	2	1	0
7	0	4	26	26	12	1	0
8	0	0	20	32	14	3	0
9	0	0	14	29	18	8	0
10	0	1	5	27	32	4	0
11	0	0	4	24	33	8	0
12	0	0	0	13	36	20	0
13	0	0	0	2	38	29	0
14	0	0	0	0	4	65	0
15	0	0	0	0	0	14	55
