Turns	0	1	2	3	4	5	6
1	45	1	0	0	0	0	0
2	37	8	1	0	0	0	0
3	9	20	16	0	1	0	0
4	1	24	11	8	2	0	0
5	0	10	20	12	4	0	0
6	0	12	20	13	1	0	0
7	0	4	25	12	4	1	0
8	0	6	19	13	8	0	0
9	0	4	18	16	6	2	0
10	0	5	15	15	9	2	0
11	0	3	14	16	11	2	0
12	0	4	11	15	11	5	0
13	0	1	10	18	11	6	0
14	0	2	11	18	9	6	0
15	0	1	9	17	12	7	0
16	0	2	12	16	11	5	0
17	0	1	7	22	14	2	0
18	0	0	6	22	16	2	0
19	0	0	4	20	18	4	0
20	0	0	4	13	21	8	0
21	0	0	2	13	23	8	0
22	0	0	1	7	23	15	0
23	0	0	0	2	28	16	0
24	0	0	0	0	7	39	0
25	0	0	0	0	0	5	41
