Supply	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	248	226	115	126	52	47	10	12
1	100	77	73	29	35	13	13	8
2	61	65	40	41	41	23	15	13
3	52	69	47	40	34	29	12	9
4	16	36	39	53	28	40	9	13
5	5	8	20	28	20	47	9	8
6	1	2	8	24	8	14	9	16
7	0	0	1	1	4	9	10	6
8	0	0	0	1	0	0	3	7
9	0	0	0	0	0	0	2	1
10	0	0	0	0	0	0	1	0
11	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
