White	WhiteWin	Draw	BlackWin	Black
L1-A1-Q-A1	60.0	0.0	40.0	L1-Q-M1-A1
G1-Q-S1-S1	80.0	0.0	20.0	G1-A1-Q-A2
G1-Q-A1-S1	80.0	0.0	20.0	G1-Q-S1-S1
G1-A1-Q-A2	100.0	0.0	0.0	G1-Q-S1-A1
G1-A1-Q-A1	60.0	0.0	40.0	G1-Q-S1-S2
G1-A1-Q-A1	60.0	0.0	40.0	G1-Q-S1-G2
G1-A1-Q-A1	80.0	0.0	20.0	G1-A1-Q-A1
G1-A1-Q-A1	40.0	0.0	60.0	B1-Q-S1-S2
G1-A1-Q-A1	40.0	20.0	40.0	B1-M1-Q-A1
S1-A1-Q-A1	25.0	0.0	75.0	G1-Q-S1-S1
S1-A1-Q-A1	25.0	25.0	50.0	G1-Q-A1-M1
P-A1-Q-A1	75.0	0.0	25.0	G1-Q-A1-A2
P-A1-Q-A1	50.0	0.0	50.0	G1-A1-Q-A2
L1-Q-A1-A1	75.0	0.0	25.0	G1-Q-S1-S1
L1-A1-Q-A1	0.0	75.0	25.0	B1-M1-Q-A1
G1-Q-S1-S1	75.0	0.0	25.0	L1-Q-M1-S1
G1-Q-S1-S1	75.0	0.0	25.0	G1-Q-S1-S2
G1-Q-S1-S1	75.0	0.0	25.0	G1-Q-S1-A1
G1-Q-S1-S1	25.0	0.0	75.0	G1-Q-A1-S1
G1-Q-A1-S1	75.0	0.0	25.0	G1-G2-Q-S1
G1-Q-A1-A2	50.0	0.0	50.0	G1-G2-Q-S1
G1-Q-A1-A1	25.0	0.0	75.0	G1-Q-G2-A1
G1-A1-Q-A2	50.0	0.0	50.0	G1-Q-S1-S1
G1-A1-Q-A1	75.0	0.0	25.0	L1-Q-M1-S1
G1-A1-Q-A1	50.0	0.0	50.0	B1-Q-A1-A2
G1-A1-Q-A1	75.0	0.0	25.0	B1-A1-Q-S1
S1-Q-S2-S2	66.666664	33.333332	0.0	G1-Q-A1-M1
S1-Q-A1-A1	33.333332	0.0	66.666664	G1-Q-S1-A1
S1-Q-A1-A1	66.666664	0.0	33.333332	G1-Q-A1-M1
S1-A1-Q-A1	66.666664	0.0	33.333332	G1-Q-S1-M1
S1-A1-Q-A1	66.666664	0.0	33.333332	G1-Q-A1-A1
P-Q-A1-A1	66.666664	0.0	33.333332	M1-Q-A1-A2
L1-Q-A1-A1	33.333332	33.333332	33.333332	L1-Q-M1-A1
L1-M1-Q-A1	33.333332	0.0	66.666664	L1-M1-Q-A1
L1-A1-Q-M1	100.0	0.0	0.0	L1-M1-Q-A1
