Type	Count
1	all	59
2	all-p	53
3	all-t	6
4	p-hive	18
5	p-hive-l	3
6	p-hive-lm	16
7	p-hive-m	3
8	p-hive-p	6
9	p-hive-plm	5
10	p-hive-pm	2
11	t-hive	1
12	t-hive-l	2
13	t-hive-lm	2
14	t-hive-m	0
15	t-hive-p	1
16	t-hive-pl	0
17	t-hive-plm	0
18	t-hive-pm	0
