Turns	Winner	Looser
1	0.0	0.028985508
2	0.17391305	0.44927537
3	1.0	1.4927536
4	1.8695652	1.6666666
5	2.4202898	1.9710145
6	2.3623188	2.231884
7	2.710145	2.3913043
8	3.0	2.3913043
9	3.289855	2.594203
10	3.4782608	2.536232
11	3.652174	2.6086957
12	4.1014495	2.7246377
13	4.3913045	2.9565217
14	4.942029	3.1449275
15	5.7971015	3.347826
