Type	Count	%
1	all	1424	100.0
2	all-p	1212	85.11236
3	all-t	212	14.88764
4	p-hive	493	34.620785
5	p-hive-l	51	3.5814607
6	p-hive-lm	251	17.626404
7	p-hive-m	189	13.272472
8	p-hive-p	117	8.216292
9	p-hive-plm	100	7.022472
10	p-hive-pm	11	0.7724719
11	t-hive	88	6.179775
12	t-hive-l	21	1.474719
13	t-hive-lm	28	1.9662921
14	t-hive-m	21	1.474719
15	t-hive-p	30	2.1067417
16	t-hive-pl	2	0.14044943
17	t-hive-plm	21	1.474719
18	t-hive-pm	1	0.07022472
