Turns	0	1	2	3	4	5	6
1	67	2	0	0	0	0	0
2	40	27	2	0	0	0	0
3	7	22	39	1	0	0	0
4	0	35	24	8	2	0	0
5	0	20	32	16	1	0	0
6	0	11	37	15	6	0	0
7	0	10	27	27	5	0	0
8	0	10	27	28	3	1	0
9	0	8	22	30	8	1	0
10	0	10	22	29	6	2	0
11	0	9	23	23	14	0	0
12	0	11	17	22	18	1	0
13	0	5	23	16	20	5	0
14	0	5	19	16	19	10	0
15	0	3	18	14	20	14	0
