Board	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0
4	0	0	0	1	0	0	1	0
5	1	2	1	1	0	0	2	1
6	5	8	8	24	4	9	3	7
7	16	36	20	28	8	14	10	6
8	52	69	39	53	20	47	9	16
9	61	65	47	40	28	40	9	8
10	100	77	40	41	34	29	9	13
11	248	226	73	29	41	23	12	9
12	0	0	115	126	35	13	15	13
13	0	0	0	0	52	47	13	8
14	0	0	0	0	0	0	10	12
