Variant	Time (s.)
all	26
all-p	25
all-t	30
p-hive	25
p-hive-l	28
p-hive-lm	30
p-hive-m	26
p-hive-p	22
p-hive-plm	21
p-hive-pm	33
t-hive	25
t-hive-l	40
t-hive-lm	45
t-hive-m	31
t-hive-p	30
t-hive-pl	25
t-hive-plm	33
t-hive-pm	32
