Diff	Count	Percent
-5	1	0.08764242
-4	6	0.5258545
-3	24	2.103418
-2	67	5.872042
-1	154	13.496933
0	458	40.14023
1	174	15.249781
2	139	12.182296
3	72	6.310254
4	35	3.0674846
5	10	0.8764242
6	1	0.08764242
