label	?	C	F	I	J	X	Z
white-wins	48.780487	34.618217	65.05313	58.731464	36.90543	45.985542	44.42375
black-wins	41.463413	44.807266	27.095633	36.9028	53.133743	49.892555	43.82371
draw	7.3170733	10.336361	1.8299882	0.49423394	1.6787913	0.8204728	0.97248083
other	2.4390244	10.238153	6.0212517	3.871499	8.282037	3.3014262	10.780054
