Variant	Time (s.)
all	806
all-p	793
all-t	1144
p-hive	787
p-hive-l	914
p-hive-lm	806
p-hive-m	719
p-hive-p	939
p-hive-pl	1032
p-hive-plm	855
p-hive-pm	1182
t-hive	1214
t-hive-l	1111
t-hive-lm	1663
t-hive-m	768
t-hive-p	1356
t-hive-pl	924
t-hive-plm	1273
t-hive-pm	989
