label	?	C	F	I	J	X	Z
white-wins	47.808586	25.12	0.0	58.78788	45.07898	44.540882	37.4183
black-wins	38.237926	52.4	0.0	31.515152	42.77035	44.55884	48.039215
draw	3.3989267	11.28	0.0	1.8181819	1.4580802	4.52532	0.7352941
other	10.554562	11.2	0.0	7.878788	10.692588	6.374955	13.80719
