Turns	0	1	2	3	4	5	6
1	58	1	0	0	0	0	0
2	44	14	1	0	0	0	0
3	22	19	17	1	0	0	0
4	5	20	25	7	2	0	0
5	0	11	27	21	0	0	0
6	0	6	28	20	4	1	0
7	0	1	24	27	7	0	0
8	0	2	10	33	12	2	0
9	0	2	6	34	13	4	0
10	0	1	6	20	28	4	0
11	0	0	5	17	32	5	0
12	0	0	1	13	30	15	0
13	0	0	0	2	28	29	0
14	0	0	0	0	4	55	0
15	0	0	0	0	0	6	53
