Diff	Count	Percent
-7	3	0.0022029504
-6	33	0.024232455
-5	271	0.19899987
-4	1469	1.0787114
-3	6110	4.4866757
-2	15848	11.637453
-1	26917	19.765606
0	45245	33.224163
1	19103	14.027655
2	11793	8.659799
3	6002	4.4073696
4	2434	1.7873272
5	712	0.5228336
6	188	0.13805157
7	35	0.025701089
8	12	0.008811802
9	5	0.0036715842
10	1	7.343168E-4
