White	WhiteWin	Draw	BlackWin	Black
S1-Q-A1-A1	1	0	0	S1-A1-Q-B1
S1-Q-A1-A1	1	0	0	Q-S1-G1-S1
S1-Q-A1-A1	0	0	1	P-Q-S1-S1
S1-Q-A1-A1	1	0	0	G1-Q-S1-M1
S1-Q-A1-A1	1	0	0	G1-Q-S1-G2
S1-Q-A1-A1	0	0	1	G1-Q-A1-S1
S1-Q-A1-A1	1	0	0	G1-Q-A1-B1
S1-Q-A1-A1	0	0	1	G1-B1-Q-A1
S1-Q-A1-A1	0	0	1	G1-A1-Q-S1
S1-Q-A1-A1	1	0	0	G1-A1-Q-G2
S1-Q-A1-A1	1	0	0	B1-Q-Q-B1
S1-Q-A1-A1	0	0	1	B1-Q-G1-G1
S1-Q-A1-A1	1	0	0	B1-G1-Q-G1
S1-P-Q-A1	0	0	1	G1-G2-Q-A1
S1-P-A1-Q	0	0	1	L1-M1-Q-A1
S1-G1-S2-Q	0	0	1	P-Q-A1-S1
S1-G1-Q-S2	1	0	0	B1-Q-S1-S1
S1-G1-Q-P	0	0	1	G1-Q-P-A1
S1-G1-Q-G1	0	0	1	S1-Q-A1-A1
S1-G1-Q-B1	1	0	0	Q-A1-A2-A2
S1-G1-Q-A1	0	0	1	S1-S2-Q-A1
S1-G1-Q-A1	0	0	1	S1-A1-Q-A1
S1-G1-Q-A1	0	0	1	L1-M1-Q-A1
S1-G1-Q-A1	0	0	1	G1-G2-Q-A1
S1-G1-G2-Q	0	0	1	B1-S1-A1-Q
S1-G1-A1-Q	0	0	1	S1-Q-A1-A1
S1-G1-A1-Q	0	0	1	G1-A1-A2-Q
S1-G1-A1-Q	1	0	0	B1-S1-G1-Q
S1-G1-A1-Q	0	0	1	B1-G1-A1-Q
S1-B1-Q-P	1	0	0	G1-Q-S1-S1
S1-B1-Q-P	1	0	0	B1-Q-A1-A1
S1-B1-Q-M1	0	0	1	G1-A1-Q-A1
S1-B1-Q-G1	0	0	1	S1-A1-Q-A2
S1-B1-Q-B1	0	0	1	P-Q-B1-A1
S1-B1-Q-B1	0	0	1	B1-Q-A1-A1
S1-B1-Q-B1	1	0	0	B1-G1-Q-S1
S1-B1-Q-A1	0	0	1	P-Q-A1-A1
S1-B1-Q-A1	1	0	0	B1-Q-Q-Q
S1-B1-P-Q	0	1	0	L1-A1-Q-A1
S1-B1-G1-Q	0	0	1	S1-Q-A1-A1
S1-B1-G1-Q	1	0	0	P-Q-A1-A1
S1-B1-A1-Q	0	0	1	B1-Q-A1-A1
S1-A1-Q-S2	0	1	0	Q-G1-G1-A1
S1-A1-Q-S2	1	0	0	G1-G2-Q-A1
S1-A1-Q-Q	1	0	0	G1-Q-S1-A1
