Turns	0	1	2	3	4	5	6
1	59	0	0	0	0	0	0
2	40	19	0	0	0	0	0
3	11	19	29	0	0	0	0
4	2	22	19	15	1	0	0
5	0	17	22	16	3	1	0
6	0	12	26	19	2	0	0
7	0	9	17	23	9	1	0
8	0	9	17	25	7	1	0
9	0	8	15	26	6	4	0
10	0	7	13	26	10	3	0
11	0	6	13	25	14	1	0
12	0	6	9	18	25	1	0
13	0	3	10	18	24	4	0
14	0	4	9	12	21	13	0
15	0	3	9	12	19	16	0
