Turns	Winner	Looser
1	0.016949153	0.0
2	0.27118644	0.3220339
3	0.9491525	1.3050847
4	1.6779661	1.8474576
5	2.1694915	2.1355932
6	2.4237287	2.1864407
7	2.677966	2.5932202
8	3.0338984	2.559322
9	3.1864407	2.7118645
10	3.4745762	2.8135593
11	3.6271186	2.8474576
12	4.0	3.1016948
13	4.4576273	3.2711864
14	4.9322033	3.5084746
15	5.898305	3.6101694
