Diff	Count	Percent
-6	6	0.02932408
-5	52	0.25414202
-4	237	1.1583011
-3	850	4.1542444
-2	2105	10.287865
-1	3732	18.239578
0	6026	29.45115
1	3326	16.255316
2	2361	11.539025
3	1170	5.7181954
4	445	2.1748693
5	126	0.6158057
6	22	0.10752162
7	2	0.009774693
10	1	0.0048873466
