Turns	0	1	2	3	4	5	6
1	1770	46	0	0	0	0	0
2	1335	435	46	0	0	0	0
3	423	769	584	39	1	0	0
4	98	620	782	297	19	0	0
5	0	478	903	384	48	3	0
6	0	372	920	440	81	3	0
7	0	294	863	533	120	6	0
8	0	246	739	660	156	15	0
9	0	207	685	674	223	27	0
10	0	201	584	681	310	40	0
11	0	169	540	645	405	57	0
12	0	164	463	641	449	99	0
13	0	156	420	607	509	124	0
14	0	126	384	525	511	270	0
15	0	112	332	422	541	409	0
