Type	Count	%
1	all	22404	100.0
2	all-p	21398	95.50973
3	all-t	1006	4.4902697
4	p-hive	13945	62.24335
5	p-hive-l	268	1.1962149
6	p-hive-lm	3113	13.89484
7	p-hive-m	2535	11.314943
8	p-hive-p	900	4.01714
9	p-hive-pl	12	0.053561863
10	p-hive-plm	567	2.530798
11	p-hive-pm	58	0.25888234
12	t-hive	323	1.4417069
13	t-hive-l	72	0.3213712
14	t-hive-lm	43	0.19193001
15	t-hive-m	222	0.9908945
16	t-hive-p	246	1.0980182
17	t-hive-pl	12	0.053561863
18	t-hive-plm	70	0.3124442
19	t-hive-pm	18	0.0803428
