Supply	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	3254	3972	628	827	271	346	41	52
1	2497	1650	540	287	254	147	46	24
2	2550	2216	579	413	409	220	58	47
3	2374	2509	664	580	495	394	70	40
4	1637	1799	648	706	525	471	82	89
5	603	792	448	599	492	669	83	87
6	167	159	177	263	396	549	84	107
7	50	35	41	57	139	166	59	71
8	8	6	15	6	27	40	25	32
9	0	2	1	1	6	8	6	7
10	0	0	0	2	0	2	3	1
11	0	0	0	0	0	2	0	0
12	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0
