Board	Winner(11)	Looser(11)	Winner(12)	Looser(12)	Winner(13)	Looser(13)	Winner(14)	Looser(14)
0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0
2	0	2	0	2	0	2	0	0
3	8	6	1	1	0	2	0	0
4	50	35	15	6	6	8	3	1
5	167	159	41	57	27	40	6	7
6	603	792	177	263	139	166	25	32
7	1638	1800	449	599	397	550	59	71
8	2375	2510	648	706	492	667	84	107
9	2548	2217	664	580	525	472	83	87
10	2500	1654	582	415	495	396	83	89
11	3255	3969	540	286	410	221	69	40
12	0	0	627	829	254	146	58	47
13	0	0	0	0	271	346	46	24
14	0	0	0	0	0	0	41	52
