Turns	Winner	Looser
1	0.014317181	0.025330396
2	0.20099118	0.29019824
3	0.8370044	1.1332599
4	1.7136564	1.7351322
5	2.2246697	2.0060573
6	2.4493392	2.131608
7	2.6756608	2.2736783
8	2.9124448	2.4245594
9	3.1585903	2.5473568
10	3.4014318	2.671806
11	3.6773129	2.8023129
12	4.021476	2.9207048
13	4.3821588	3.0137665
14	4.9245596	3.2285242
15	5.8953743	3.4421806
