Diff	Count	Percent
-10	1	0.0048894975
-7	2	0.009778995
-6	22	0.10756894
-5	126	0.61607665
-4	445	2.1758263
-3	1171	5.725601
-2	2359	11.534325
-1	3322	16.24291
0	6025	29.45922
1	3732	18.247604
2	2104	10.287502
3	848	4.1462936
4	237	1.1588109
5	52	0.25425386
6	6	0.029336983
null	null	null
