White    	WhiteWin	Draw	    BlackWin	Black
G1-A1-Q-A1	42.857143	0.0	57.142857	G1-Q-S1-G2
S1-Q-A1-A1	25.0	0.0	75.0	B1-Q-S1-A1
S1-G1-A1-Q	10.0	0.0	90.0	G1-Q-A1-A1
G1-Q-S1-S1	85.0	0.0	15.0	S1-Q-S2-S2
G1-Q-A1-A1	50.0	0.0	50.0	S1-Q-S2-S2
G1-A1-Q-A1	30.0	20.0	50.0	L1-M1-Q-A1
S1-Q-A1-A1	68.42105	5.263158	26.31579	G1-S1-Q-S1
G1-Q-S1-S1	47.36842	15.789474	36.842106	G1-Q-G2-A1
G1-Q-A1-A1	68.42105	15.789474	15.789474	S1-Q-A1-A1
G1-A1-Q-A1	89.47369	0.0	10.526316	S1-Q-S2-S2
B1-A1-Q-A1	15.789474	5.263158	78.947365	G1-Q-S1-A1
S1-Q-A1-A1	61.11111	5.5555553	33.333332	S1-Q-A1-A1
S1-A1-Q-A1	55.555557	0.0	44.444443	S1-Q-S2-S2
S1-A1-Q-A1	22.222221	0.0	77.77778	B1-Q-S1-A1
G1-Q-S1-S1	77.77778	0.0	22.222221	S1-A1-Q-A2
G1-A1-Q-A1	61.11111	16.666666	22.222221	G1-G2-Q-G2
S1-Q-S2-S2	29.411764	5.882353	64.70588	G1-Q-A1-G2
S1-Q-A1-A1	64.70588	0.0	35.294117	S1-S2-Q-S2
S1-A1-Q-A1	35.294117	0.0	64.70588	G1-Q-S1-S2
G1-S1-S2-Q	11.764706	0.0	88.23529	G1-Q-A1-A1
G1-S1-Q-S1	35.294117	11.764706	52.941177	G1-Q-S1-S1
G1-Q-A1-A2	41.17647	5.882353	52.941177	G1-G2-Q-S1
G1-Q-A1-A1	58.82353	5.882353	35.294117	S1-A1-Q-A2
G1-Q-A1-A1	52.941177	5.882353	41.17647	G1-S1-Q-A1
G1-A1-Q-A1	70.588234	5.882353	23.529411	B1-Q-G1-A1
G1-A1-Q-A1	47.058823	0.0	52.941177	B1-Q-A1-A2
S1-G1-A1-Q	6.25	0.0	93.75	G1-Q-S1-S1
S1-B1-Q-A1	18.75	0.0	81.25	S1-Q-A1-A1
S1-A1-Q-A1	68.75	6.25	25.0	S1-S2-Q-A1
G1-Q-S1-S1	93.75	0.0	6.25	S1-Q-S2-A1
G1-Q-A1-A2	25.0	12.5	62.5	G1-Q-A1-A1
B1-A1-Q-A1	81.25	0.0	18.75	G1-G2-Q-A1
S1-Q-A1-A1	46.666668	6.6666665	46.666668	B1-Q-A1-A2
S1-A1-Q-A1	40.0	13.333333	46.666668	G1-G2-Q-A1
S1-A1-Q-A1	80.0	0.0	20.0	G1-A1-Q-A1
G1-Q-A1-A1	40.0	0.0	60.0	G1-A1-Q-A2
G1-A1-Q-A1	53.333332	0.0	46.666668	B1-Q-S1-S2
G1-A1-Q-A1	53.333332	0.0	46.666668	B1-Q-S1-S1
S1-S2-A1-Q	35.714287	7.142857	57.142857	S1-Q-A1-A1
S1-Q-S2-S2	57.142857	0.0	42.857143	B1-Q-A1-A1
S1-Q-A1-A1	78.57143	7.142857	14.285714	S1-Q-A1-G1
S1-Q-A1-A1	78.57143	0.0	21.428572	S1-G1-Q-G1
S1-Q-A1-A1	35.714287	0.0	64.28571	G1-Q-A1-G2
S1-A1-Q-A1	71.42857	7.142857	21.428572	G1-S1-Q-S1
S1-A1-Q-A1	21.428572	0.0	78.57143	G1-Q-A1-G2
S1-A1-A2-Q	78.57143	0.0	21.428572	S1-A1-A2-Q
G1-Q-S1-S1	85.71429	0.0	14.285714	B1-Q-A1-A1
