Turns	0	1	2	3	4	5	6
1	1791	26	0	0	0	0	0
2	1477	314	26	0	0	0	0
3	752	633	407	24	1	0	0
4	194	531	716	351	25	0	0
5	0	279	929	532	75	2	0
6	0	175	832	645	148	17	0
7	0	84	696	783	233	21	0
8	0	59	489	870	349	50	0
9	0	37	355	793	546	86	0
10	0	20	235	707	705	150	0
11	0	7	136	567	833	274	0
12	0	2	20	401	907	487	0
13	0	1	0	57	1004	755	0
14	0	0	0	6	125	1686	0
15	0	0	0	0	0	190	1627
