label	all	all-p	all-t	p-hive	p-hive-l	p-hive-lm	p-hive-m	p-hive-p	p-hive-pl	p-hive-plm	p-hive-pm	t-hive	t-hive-l	t-hive-lm	t-hive-m	t-hive-p	t-hive-pl	t-hive-plm	t-hive-pm
white-wins	45.43385	45.47154	44.632206	45.50735	46.641792	48.24928	46.46943	37.11111	33.333332	39.329807	31.034483	42.724457	45.833332	34.88372	42.792793	49.593494	83.333336	40.0	44.444443
black-wins	45.85342	46.191235	38.66799	46.726425	42.16418	44.876324	43.037476	50.22222	58.333332	49.029984	51.724136	43.343655	38.88889	30.232557	31.531532	40.650406	8.333333	40.0	50.0
draw	4.450098	4.220021	9.343936	3.7647903	6.3432837	3.7905557	7.771203	3.4444444	0.0	2.292769	3.4482758	5.5727553	8.333333	16.27907	23.423424	2.8455284	0.0	5.714286	0.0
other	4.262632	4.117207	7.355865	4.0014343	4.850746	3.083842	2.7218935	9.222222	8.333333	9.347443	13.793103	8.359133	6.9444447	18.60465	2.2522523	6.910569	8.333333	14.285714	5.5555553
