White	WhiteWin	Draw	BlackWin	Black
S1-Q-A1-A1	25	1	5	S1-A1-Q-A1
S1-Q-A1-A1	7	4	20	G1-Q-A1-A1
S1-Q-A1-A1	9	3	19	G1-G2-Q-A1
S1-B1-Q-A1	4	0	26	G1-Q-A1-A1
G1-Q-A1-A1	10	3	17	B1-Q-A1-A2
G1-A1-Q-A2	13	0	17	G1-Q-S1-S1
S1-Q-S2-S2	10	2	17	G1-Q-S1-A1
S1-Q-A1-A1	17	0	12	S1-Q-S2-A1
S1-Q-A1-A1	8	0	21	G1-Q-S1-S2
G1-Q-A1-A1	19	2	8	G1-Q-A1-A1
G1-Q-S1-S1	20	1	7	G1-A1-Q-A2
S1-Q-A1-A1	18	1	8	S1-A1-Q-A2
G1-A1-Q-A1	12	0	15	G1-Q-S1-S2
S1-A1-Q-A1	17	3	6	S1-A1-Q-A2
G1-Q-S1-S1	13	0	13	G1-Q-A1-G2
G1-A1-Q-A1	16	2	8	G1-S1-Q-A1
G1-S1-Q-S1	10	2	13	G1-Q-A1-A1
G1-S1-Q-A1	5	2	18	G1-Q-A1-A1
G1-Q-A1-S1	14	1	10	G1-Q-S1-S1
G1-A1-Q-A1	17	2	6	S1-Q-A1-A1
S1-A1-Q-A1	8	0	16	S1-Q-A1-A2
G1-A1-Q-A1	16	1	7	S1-A1-Q-A2
S1-S2-A1-Q	1	0	22	G1-Q-A1-A1
S1-Q-S2-S2	13	1	9	G1-Q-S1-S1
S1-Q-A1-A2	10	0	13	G1-Q-S1-S1
S1-A1-Q-A1	11	1	11	G1-Q-A1-A1
G1-Q-A1-A1	14	1	8	G1-Q-S1-G2
G1-A1-Q-A1	5	3	15	G1-Q-A1-A1
G1-A1-Q-A1	13	2	8	G1-A1-Q-A1
S1-S2-Q-S2	5	0	17	G1-Q-A1-A1
S1-S2-Q-A1	4	0	18	G1-Q-S1-S1
S1-Q-S2-S2	14	0	8	S1-Q-S2-S2
S1-Q-A1-A1	19	0	3	S1-Q-S2-S2
S1-A1-Q-A1	8	2	12	G1-Q-A1-S1
G1-Q-S1-A1	10	0	12	G1-Q-S1-S1
G1-Q-S1-A1	6	2	14	G1-Q-A1-A1
G1-A1-Q-A1	20	0	2	S1-A1-Q-A1
S1-S2-Q-S2	6	1	14	S1-Q-A1-A1
S1-S2-Q-A1	2	0	19	S1-Q-A1-A1
S1-Q-A1-A1	12	0	9	G1-A1-Q-A2
S1-A1-Q-A1	3	0	18	G1-Q-G2-A1
S1-A1-Q-A1	12	0	9	G1-A1-Q-A2
G1-Q-A1-A2	13	1	7	B1-Q-S1-S1
G1-B1-Q-A1	0	0	21	G1-Q-A1-A1
G1-A1-Q-A1	9	0	12	G1-Q-S1-G2
S1-Q-A1-A1	5	0	15	B1-Q-S1-A1
S1-G1-A1-Q	2	0	18	G1-Q-A1-A1
G1-Q-S1-S1	17	0	3	S1-Q-S2-S2
G1-Q-A1-A1	10	0	10	S1-Q-S2-S2
G1-A1-Q-A1	6	4	10	L1-M1-Q-A1
S1-Q-A1-A1	13	1	5	G1-S1-Q-S1
G1-Q-S1-S1	9	3	7	G1-Q-G2-A1
G1-Q-A1-A1	13	3	3	S1-Q-A1-A1
G1-A1-Q-A1	17	0	2	S1-Q-S2-S2
B1-A1-Q-A1	3	1	15	G1-Q-S1-A1
S1-Q-A1-A1	11	1	6	S1-Q-A1-A1
S1-A1-Q-A1	10	0	8	S1-Q-S2-S2
S1-A1-Q-A1	4	0	14	B1-Q-S1-A1
G1-Q-S1-S1	14	0	4	S1-A1-Q-A2
G1-A1-Q-A1	11	3	4	G1-G2-Q-G2
S1-Q-S2-S2	5	1	11	G1-Q-A1-G2
S1-Q-A1-A1	11	0	6	S1-S2-Q-S2
S1-A1-Q-A1	6	0	11	G1-Q-S1-S2
G1-S1-S2-Q	2	0	15	G1-Q-A1-A1
G1-S1-Q-S1	6	2	9	G1-Q-S1-S1
G1-Q-A1-A2	7	1	9	G1-G2-Q-S1
G1-Q-A1-A1	10	1	6	S1-A1-Q-A2
G1-Q-A1-A1	9	1	7	G1-S1-Q-A1
G1-A1-Q-A1	12	1	4	B1-Q-G1-A1
G1-A1-Q-A1	8	0	9	B1-Q-A1-A2
S1-G1-A1-Q	1	0	15	G1-Q-S1-S1
S1-B1-Q-A1	3	0	13	S1-Q-A1-A1
S1-A1-Q-A1	11	1	4	S1-S2-Q-A1
G1-Q-S1-S1	15	0	1	S1-Q-S2-A1
G1-Q-A1-A2	4	2	10	G1-Q-A1-A1
B1-A1-Q-A1	13	0	3	G1-G2-Q-A1
S1-Q-A1-A1	7	1	7	B1-Q-A1-A2
S1-A1-Q-A1	6	2	7	G1-G2-Q-A1
S1-A1-Q-A1	12	0	3	G1-A1-Q-A1
G1-Q-A1-A1	6	0	9	G1-A1-Q-A2
G1-A1-Q-A1	8	0	7	B1-Q-S1-S2
G1-A1-Q-A1	8	0	7	B1-Q-S1-S1
S1-S2-A1-Q	5	1	8	S1-Q-A1-A1
S1-Q-S2-S2	8	0	6	B1-Q-A1-A1
S1-Q-A1-A1	11	1	2	S1-Q-A1-G1
S1-Q-A1-A1	11	0	3	S1-G1-Q-G1
S1-Q-A1-A1	5	0	9	G1-Q-A1-G2
S1-A1-Q-A1	10	1	3	G1-S1-Q-S1
S1-A1-Q-A1	3	0	11	G1-Q-A1-G2
S1-A1-A2-Q	11	0	3	S1-A1-A2-Q
G1-Q-S1-S1	12	0	2	B1-Q-A1-A1
G1-Q-A1-A1	5	1	8	S1-Q-S2-A1
G1-Q-A1-A1	7	0	7	S1-Q-A1-S2
G1-Q-A1-A1	13	0	1	G1-S1-Q-S1
G1-A1-Q-A1	11	0	3	G1-S1-Q-S1
B1-Q-S1-S1	4	0	10	G1-Q-A1-A2
B1-Q-A1-A1	7	0	7	G1-Q-A1-A2
S1-S2-A1-Q	7	0	6	S1-S2-A1-Q
S1-Q-S2-A1	3	0	10	G1-Q-A1-A1
S1-G1-Q-G1	3	0	10	G1-Q-A1-A1
S1-G1-Q-A1	4	0	9	G1-Q-S1-S1
S1-B1-G1-Q	2	0	11	G1-Q-A1-A1
S1-A1-Q-A1	9	0	4	S1-S2-Q-S2
S1-A1-Q-A1	5	1	7	G1-Q-A1-M1
G1-S1-A1-Q	0	0	13	G1-Q-S1-S1
G1-Q-A1-A2	9	1	3	S1-Q-S2-S2
G1-Q-A1-A1	2	2	9	L1-Q-A1-A2
G1-Q-A1-A1	5	1	7	L1-M1-Q-A1
G1-Q-A1-A1	5	1	7	B1-Q-S1-S1
G1-Q-A1-A1	7	1	5	B1-Q-G1-A1
G1-Q-A1-A1	5	2	6	B1-Q-A1-S1
G1-A1-Q-A1	9	0	4	S1-Q-S2-A1
G1-A1-Q-A1	9	1	3	S1-A1-Q-G1
B1-A1-Q-A1	5	1	7	G1-Q-S1-S1
B1-A1-Q-A1	8	2	3	G1-Q-A1-A2
S1-S2-Q-S2	4	0	8	G1-Q-S1-S1
S1-S2-G1-Q	1	0	11	G1-Q-A1-A1
S1-Q-A1-A1	9	0	3	S1-S2-Q-A1
S1-Q-A1-A1	5	2	5	S1-Q-A1-S2
S1-Q-A1-A1	8	1	3	S1-G1-Q-A1
S1-Q-A1-A1	6	0	6	G1-Q-S1-G2
S1-A1-Q-A2	3	0	9	G1-Q-S1-S1
S1-A1-Q-A1	7	0	5	S1-Q-S2-A1
S1-A1-Q-A1	9	1	2	S1-A1-Q-G1
S1-A1-Q-A1	8	0	4	B1-Q-A1-A2
S1-A1-Q-A1	8	0	4	B1-Q-A1-A1
S1-A1-G1-Q	2	0	10	G1-Q-S1-S1
S1-A1-A2-Q	2	0	10	G1-Q-S1-S1
S1-A1-A2-Q	2	0	10	G1-Q-A1-A1
G1-S1-Q-S2	5	0	7	G1-Q-A1-A1
G1-S1-Q-A1	1	1	10	G1-Q-S1-S1
G1-Q-S1-S1	9	0	3	S1-Q-A1-A2
G1-Q-A1-A2	4	0	8	G1-Q-S1-G2
G1-Q-A1-A1	9	0	3	S1-A1-Q-A1
G1-Q-A1-A1	7	2	3	L1-Q-A1-A1
G1-A1-Q-S1	7	0	5	G1-S1-Q-S1
B1-S1-Q-A1	1	0	11	G1-Q-A1-A1
B1-S1-A1-Q	1	0	11	G1-Q-A1-A1
B1-Q-S1-S1	5	2	5	G1-Q-A1-A1
B1-A1-Q-A1	8	0	4	B1-A1-Q-A2
S1-Q-S2-S2	7	1	3	S1-A1-Q-A2
S1-Q-A1-A1	7	0	4	S1-Q-B1-A1
S1-Q-A1-A1	2	2	7	Q-A1-A1-B1
S1-Q-A1-A1	3	0	8	L1-M1-Q-A1
S1-Q-A1-A1	7	0	4	G1-S1-Q-A1
S1-G1-Q-A1	3	0	8	S1-Q-A1-A1
S1-B1-A1-Q	0	0	11	G1-Q-A1-A1
S1-A1-Q-A1	5	0	6	G1-S1-Q-A1
S1-A1-G1-Q	0	1	10	G1-Q-A1-A1
S1-A1-A2-Q	6	0	5	S1-A1-Q-A1
L1-Q-A1-A1	4	1	6	L1-Q-M1-A1
G1-S1-S2-Q	1	0	10	G1-Q-S1-S1
G1-S1-A1-Q	0	0	11	G1-Q-A1-A1
G1-Q-S1-S2	1	0	10	G1-Q-A1-A1
G1-Q-A1-A2	4	1	6	G1-Q-G2-S1
G1-Q-A1-A1	7	1	3	S1-S2-Q-A1
G1-Q-A1-A1	3	4	4	L1-Q-A1-M1
G1-Q-A1-A1	6	0	5	B1-Q-S1-S2
G1-B1-Q-S1	2	0	9	G1-Q-A1-A1
G1-B1-Q-A1	2	0	9	B1-Q-A1-A1
G1-A1-Q-A1	10	1	0	S1-G1-Q-A1
G1-A1-Q-A1	8	0	3	G1-Q-A1-G2
B1-Q-A1-A1	4	0	7	G1-Q-G2-A1
S1-S2-Q-S2	2	0	8	G1-Q-G2-A1
S1-S2-B1-Q	1	0	9	G1-Q-A1-A1
S1-S2-A1-Q	2	1	7	S1-A1-Q-A1
S1-Q-S2-S2	6	1	3	S1-Q-A1-A2
S1-Q-G1-G1	3	0	7	G1-Q-A1-A1
S1-Q-A1-A1	4	0	6	G1-G2-Q-S1
S1-G1-B1-Q	1	0	9	G1-Q-A1-A1
S1-B1-Q-B1	1	1	8	G1-Q-A1-A2
S1-B1-Q-A1	4	0	6	B1-Q-A1-A1
S1-A1-Q-A2	8	0	2	S1-G1-A1-Q
S1-A1-Q-A1	4	3	3	B1-Q-S1-S1
G1-S1-Q-A1	3	0	7	S1-Q-A1-A1
G1-Q-A1-A1	6	0	4	G1-Q-A1-M1
G1-B1-A1-Q	0	0	10	G1-Q-A1-A1
G1-A1-S1-Q	6	0	4	G1-Q-A1-A1
B1-S1-A1-Q	0	0	10	G1-Q-S1-S1
B1-Q-A1-A1	2	0	8	G1-Q-S1-S1
S1-S2-Q-A1	0	0	9	B1-Q-A1-A1
S1-S2-A1-Q	2	0	7	G1-A1-Q-A1
S1-Q-S2-S2	7	0	2	S1-Q-S2-A1
S1-Q-A1-S2	3	1	5	G1-Q-S1-S1
S1-Q-A1-A2	6	1	2	S1-Q-S2-S2
S1-Q-A1-A2	0	1	8	G1-G2-Q-S1
S1-Q-A1-A1	6	1	2	S1-Q-A1-B1
S1-Q-A1-A1	0	0	9	L1-Q-M1-A1
S1-Q-A1-A1	5	0	4	G1-A1-Q-S1
S1-G1-Q-S2	4	0	5	G1-Q-S1-S1
S1-G1-Q-S2	1	1	7	G1-Q-A1-A1
S1-G1-A1-Q	1	0	8	S1-A1-Q-A1
S1-A1-Q-G1	2	0	7	G1-Q-S1-S1
S1-A1-Q-A2	6	1	2	S1-A1-Q-A1
S1-A1-Q-A2	2	1	6	G1-Q-A1-A1
S1-A1-Q-A1	5	0	4	G1-Q-S1-G2
S1-A1-A2-Q	7	0	2	S1-S2-A1-Q
S1-A1-A2-Q	4	1	4	S1-Q-A1-A1
G1-Q-S1-S2	7	1	1	Q-A1-A1-A2
G1-Q-S1-S1	5	0	4	G1-S1-Q-A1
G1-Q-S1-S1	1	1	7	G1-Q-A1-P
G1-Q-S1-S1	5	0	4	B1-Q-S1-A1
G1-Q-S1-G2	7	0	2	G1-Q-A1-A1
G1-Q-A1-A2	7	1	1	S1-S2-Q-S2
G1-Q-A1-A2	7	0	2	G1-Q-S1-S2
G1-Q-A1-A1	5	0	4	G1-Q-G2-S1
G1-Q-A1-A1	2	4	3	G1-Q-A1-G2
G1-Q-A1-A1	9	0	0	B1-S1-Q-S1
G1-Q-A1-A1	6	0	3	B1-Q-A1-G1
G1-G2-Q-A1	2	0	7	G1-Q-A1-A1
G1-A1-S1-Q	5	0	4	S1-Q-A1-A1
G1-A1-Q-A2	3	1	5	G1-Q-A1-A1
G1-A1-Q-A1	7	0	2	S1-G1-Q-G1
G1-A1-Q-A1	6	1	2	G1-B1-Q-A1
G1-A1-Q-A1	8	0	1	B1-S1-Q-S1
G1-A1-Q-A1	6	0	3	B1-A1-Q-S1
B1-S1-Q-A1	4	0	5	S1-Q-A1-A1
B1-S1-G1-Q	0	0	9	G1-Q-A1-A1
B1-G1-Q-A1	2	0	7	G1-Q-A1-A1
B1-G1-A1-Q	1	1	7	B1-Q-A1-A1
B1-A1-Q-A1	2	1	6	B1-G1-Q-A1
S1-S2-B1-Q	2	0	6	S1-A1-Q-A1
S1-S2-A1-Q	2	0	6	B1-Q-A1-A1
S1-Q-S2-S2	6	0	2	S1-S2-Q-A1
S1-Q-S2-S2	5	0	3	S1-Q-G1-G1
S1-Q-S2-S2	1	0	7	L1-Q-A1-A1
S1-Q-A1-A2	8	0	0	S1-A1-G1-Q
S1-Q-A1-A2	7	1	0	G1-S1-A1-Q
S1-Q-A1-A2	5	0	3	G1-Q-S1-A1
S1-Q-A1-A1	7	0	1	S1-Q-G1-A1
S1-Q-A1-A1	5	0	3	S1-B1-Q-B1
S1-Q-A1-A1	5	1	2	S1-A1-Q-G1
S1-Q-A1-A1	2	2	4	Q-S1-S1-A1
S1-Q-A1-A1	4	2	2	G1-Q-A1-M1
S1-Q-A1-A1	7	0	1	B1-S1-Q-A1
S1-G1-Q-G1	1	1	6	G1-Q-S1-S1
S1-G1-Q-A1	5	0	3	S1-S2-G1-Q
S1-G1-B1-Q	2	0	6	S1-A1-Q-A1
S1-G1-A1-Q	1	0	7	S1-Q-A1-A1
S1-B1-A1-Q	1	0	7	S1-A1-Q-A1
S1-B1-A1-Q	1	0	7	G1-A1-Q-A1
S1-A1-Q-A1	3	0	5	S1-Q-M1-A1
S1-A1-Q-A1	5	1	2	G1-S1-A1-Q
L1-Q-A1-A1	5	0	3	S1-Q-A1-A2
L1-M1-Q-A1	5	0	3	L1-M1-Q-A1
L1-A1-Q-M1	6	0	2	L1-M1-Q-A1
G1-S1-S2-Q	4	0	4	S1-Q-A1-A1
G1-S1-Q-S1	3	0	5	S1-Q-A1-A1
G1-Q-S1-S2	4	0	4	G1-Q-S1-S1
G1-Q-S1-S1	5	0	3	G1-Q-S1-S2
G1-Q-S1-S1	4	1	3	G1-G2-Q-A1
G1-Q-A1-S1	7	0	1	S1-Q-S2-S2
G1-Q-A1-S1	3	1	4	G1-Q-A1-A1
G1-Q-A1-S1	5	0	3	B1-Q-S1-S1
G1-Q-A1-A2	6	0	2	G1-Q-S1-A1
G1-Q-A1-A2	5	0	3	G1-G2-Q-A1
G1-Q-A1-A1	7	0	1	S1-Q-A1-B1
G1-Q-A1-A1	8	0	0	S1-A1-Q-B1
G1-Q-A1-A1	6	1	1	G1-Q-A1-B1
G1-Q-A1-A1	1	1	6	G1-G2-Q-S1
G1-A1-Q-S1	5	0	3	S1-Q-S2-S2
G1-A1-Q-S1	4	0	4	G1-Q-S1-A1
G1-A1-Q-S1	4	1	3	G1-Q-A1-A1
G1-A1-Q-A2	5	1	2	G1-Q-S1-G2
G1-A1-Q-A1	8	0	0	S1-S2-Q-S2
G1-A1-Q-A1	5	0	3	S1-Q-S2-G1
G1-A1-Q-A1	8	0	0	S1-Q-A1-S2
G1-A1-Q-A1	5	0	3	G1-Q-G2-S1
G1-A1-Q-A1	7	0	1	G1-Q-G2-G2
G1-A1-Q-A1	7	0	1	G1-A1-Q-G2
G1-A1-A2-Q	1	0	7	G1-Q-S1-S1
B1-A1-Q-A1	5	2	1	G1-G2-Q-S1
B1-A1-Q-A1	2	0	6	B1-Q-S1-A1
S1-S2-Q-S2	2	0	5	G1-Q-A1-A2
S1-S2-Q-A1	2	0	5	S1-Q-S2-S2
S1-S2-A1-Q	5	0	2	S1-S2-Q-S2
S1-S2-A1-Q	0	0	7	G1-Q-S1-S1
S1-Q-S2-S2	3	0	4	G1-Q-G2-A1
S1-Q-S2-A1	4	0	3	G1-Q-G2-S1
S1-Q-A1-S2	3	1	3	G1-Q-A1-A1
S1-Q-A1-A1	6	0	1	S1-Q-G1-G1
S1-Q-A1-A1	1	0	6	G1-Q-G2-S1
S1-Q-A1-A1	5	0	2	B1-S1-Q-S1
S1-Q-A1-A1	4	0	3	B1-Q-S1-S1
S1-Q-A1-A1	4	0	3	B1-A1-Q-A1
S1-G1-Q-A1	1	0	6	S1-A1-Q-A1
S1-G1-Q-A1	2	0	5	B1-Q-A1-A1
S1-B1-G1-Q	3	0	4	S1-Q-A1-A1
