label	?	C	F	I	J	X	Z
white-wins	40.0	45.243935	53.7922	53.356995	47.26641	49.128895	49.12892
black-wins	54.285713	43.14527	41.056553	43.18249	47.19327	45.830505	46.14547
draw	0.0	7.7132735	1.4686542	0.23661639	1.6090693	0.8207665	1.0670732
other	5.714286	3.8975198	3.6825953	3.2238982	3.931249	4.2198343	3.6585367
