label	?	C	F	I	J	X	Z
white-wins	0.0	42.30146	63.636364	72.72727	42.32365	46.153847	40.640392
black-wins	100.0	25.28363	20.454546	13.636364	38.58921	26.923077	29.55665
draw	0.0	11.507294	0.0	0.0	3.7344398	1.9230769	0.7389163
other	0.0	20.907618	15.909091	13.636364	15.352697	25.0	29.06404
