Turns	0	1	2	3	4	5	6
1	7569	270	0	0	0	0	0
2	5962	1609	268	0	0	0	0
3	3310	2473	1855	200	1	0	0
4	981	2496	2979	1277	105	1	0
5	0	3316	2884	1250	369	20	0
6	0	3021	2624	1485	606	103	0
7	0	2357	2939	1599	786	158	0
8	0	1705	3215	1712	921	286	0
9	0	1286	3085	2051	1073	344	0
10	0	937	2800	2358	1315	429	0
11	0	725	2378	2648	1582	506	0
12	0	628	1962	2652	1967	630	0
13	0	541	1678	2509	2363	748	0
14	0	361	1312	2219	2525	1422	0
15	0	280	1142	1933	2433	2051	0
