White	WhiteWin	Draw	BlackWin	Black
S1-A1-Q-A2	46	0	12	G1-S1-B1-Q
G1-Q-A1-A2	52	0	6	G1-G2-B1-Q
S1-Q-A1-A2	52	0	5	B1-B2-S1-Q
B1-B2-S1-Q	15	1	41	S1-Q-A1-A1
A1-S1-B1-Q	8	0	49	G1-Q-A1-A1
S1-A1-Q-A2	44	0	11	S1-G1-B1-Q
S1-A1-Q-A1	39	2	14	S1-Q-S2-B1
G1-A1-Q-B1	9	0	46	G1-Q-A1-A1
A1-Q-B1-B2	22	3	30	S1-Q-A1-A1
S1-Q-A1-A2	47	0	7	S1-S2-G1-Q
S1-Q-A1-A2	43	1	10	G1-B1-Q-B2
S1-A1-Q-A2	51	0	3	S1-A1-B1-Q
G1-Q-A1-A2	50	0	4	S1-G1-B1-Q
G1-G2-A1-Q	16	1	37	S1-Q-A1-A1
S1-S2-Q-A1	45	0	8	G1-G2-B1-Q
S1-G1-A1-Q	12	0	41	G1-Q-A1-A1
G1-S1-Q-B1	19	0	34	S1-Q-A1-A1
G1-Q-A1-A2	48	0	5	G1-S1-B1-Q
G1-G2-A1-Q	8	1	44	G1-Q-A1-A1
G1-B1-B2-Q	10	0	43	G1-Q-A1-A1
A1-G1-Q-B1	12	1	40	S1-Q-A1-A1
S1-S2-Q-A1	37	1	14	S1-A1-B1-Q
S1-G1-B1-Q	7	0	45	G1-Q-A1-A1
S1-Q-A1-A1	38	4	9	S1-Q-S2-B1
S1-B1-B2-Q	9	1	41	G1-Q-A1-A1
S1-B1-A1-Q	8	1	42	S1-Q-A1-A1
S1-A1-Q-B1	8	0	43	G1-Q-A1-A1
G1-Q-A1-A2	43	1	7	S1-B1-S2-Q
G1-G2-Q-B1	13	4	34	S1-Q-A1-A1
B1-G1-B2-Q	21	2	28	S1-Q-A1-A1
B1-B2-Q-S1	12	3	36	S1-Q-A1-A1
A1-A2-B1-Q	5	0	46	G1-Q-A1-A1
S1-S2-Q-A1	37	1	12	G1-A1-B1-Q
S1-Q-A1-A2	44	0	6	A1-S1-B1-Q
S1-Q-A1-A1	39	0	11	A1-B1-Q-B2
S1-A1-Q-A2	44	0	6	G1-G2-B1-Q
S1-A1-A2-Q	19	0	31	S1-A1-Q-A1
G1-A1-A2-Q	8	0	42	G1-Q-A1-A1
A1-S1-Q-B1	12	0	38	S1-Q-A1-A1
S1-A1-Q-A2	41	2	6	S1-B1-B2-Q
S1-A1-Q-A1	33	0	16	S1-S2-Q-B1
S1-A1-Q-A1	28	0	21	G1-G2-Q-B1
G1-B1-Q-B2	21	0	28	S1-Q-A1-A1
S1-S2-A1-Q	13	1	34	S1-Q-A1-A1
S1-A1-Q-A2	38	0	10	G1-B1-B2-Q
G1-Q-A1-A2	44	1	3	S1-A1-B1-Q
G1-Q-A1-A1	40	0	8	S1-A1-Q-B1
G1-Q-A1-A1	30	2	16	G1-G2-Q-B1
G1-G2-B1-Q	19	2	27	S1-Q-A1-A1
A1-G1-A2-Q	10	0	38	S1-Q-A1-A1
A1-A2-A3-Q	17	1	30	S1-A1-Q-A1
S1-Q-A1-A2	37	0	10	G1-A1-G2-Q
S1-Q-A1-A1	31	0	16	B1-G1-Q-B2
S1-A1-Q-A2	42	0	5	S1-S2-B1-Q
S1-A1-Q-A1	31	2	14	S1-G1-Q-B1
S1-A1-Q-A1	31	0	16	S1-B1-Q-B2
S1-A1-B1-Q	12	0	35	S1-A1-Q-A1
G1-Q-A1-A2	45	0	2	A1-B1-B2-Q
B1-S1-B2-Q	9	1	37	S1-Q-A1-A1
A1-S1-A2-Q	9	0	38	S1-Q-A1-A1
S1-Q-S2-S2	28	0	18	S1-Q-S2-B1
S1-Q-A1-A1	32	1	13	B1-A1-Q-B2
G1-Q-A1-A2	43	0	3	S1-G1-S2-Q
B1-S1-B2-Q	12	1	33	G1-Q-A1-A1
A1-B1-Q-B2	10	0	36	G1-Q-A1-A1
S1-S2-A1-Q	37	0	8	S1-A1-B1-Q
S1-G1-Q-B1	19	1	25	S1-Q-A1-A1
S1-A1-Q-A2	35	0	10	G1-A1-B1-Q
G1-S1-A1-Q	13	0	32	S1-Q-A1-A1
G1-Q-A1-A2	40	0	5	G1-B1-Q-B2
S1-S2-Q-A1	32	1	11	S1-S2-B1-Q
S1-S2-A1-Q	30	0	14	G1-A1-B1-Q
G1-Q-A1-A2	36	1	7	S1-S2-B1-Q
G1-Q-A1-A1	36	0	8	S1-G1-Q-B1
B1-B2-S1-Q	12	0	32	G1-Q-A1-A1
B1-A1-Q-B2	13	2	29	S1-Q-A1-A1
A1-S1-A2-Q	8	1	35	G1-Q-A1-A1
A1-G1-Q-B1	7	1	36	G1-Q-A1-A1
A1-G1-A2-Q	8	1	35	G1-Q-A1-A1
