Type	Count
1	all	0
2	all-d	0
3	d-hive	0
4	d-hive-l	0
5	d-hive-lm	0
6	d-hive-m	0
7	d-hive-p	0
8	d-hive-pl	0
9	d-hive-plm	0
10	d-hive-pm	0
