Turns	Winner	Looser
1	0.024620486	0.03444317
2	0.13853808	0.27363184
3	0.48118383	0.8657992
4	1.3936727	1.6213803
5	2.233831	1.8382447
6	2.7142494	1.9980865
7	2.9580305	2.1643066
8	3.3002934	2.3453248
9	3.5434368	2.5029979
10	3.8138793	2.6809542
11	4.0304885	2.842582
12	4.301569	3.0011482
13	4.523536	3.1401966
14	4.9721904	3.425437
15	5.982906	3.6165328
