Type	Count	%
1	all	121332	100.0
2	all-d	121332	100.0
3	d-hive	83266	68.62658
4	d-hive-l	2021	1.6656777
5	d-hive-lm	17745	14.625161
6	d-hive-m	16117	13.283388
7	d-hive-p	1035	0.85303134
8	d-hive-pl	25	0.020604622
9	d-hive-plm	972	0.8011077
10	d-hive-pm	151	0.12445192
