Turns	0	1	2	3	4	5	6
1	7646	193	0	0	0	0	0
2	6936	720	183	0	0	0	0
3	5286	1460	968	124	1	0	0
4	2146	1740	2817	994	141	1	0
5	0	1553	3537	2146	569	34	0
6	0	961	2332	2774	1530	242	0
7	0	528	2116	2750	2047	398	0
8	0	251	1657	2458	2433	1040	0
9	0	134	1026	2513	2778	1388	0
10	0	73	518	2166	3120	1962	0
11	0	10	240	1566	3708	2315	0
12	0	3	28	819	3741	3248	0
13	0	1	4	99	3521	4214	0
14	0	0	0	5	208	7626	0
15	0	0	0	0	0	134	7705
