Diff	Count	Percent
-7	3	0.0025934954
-6	27	0.02334146
-5	219	0.18932517
-4	1233	1.0659267
-3	5260	4.547262
-2	13744	11.881667
-1	23180	20.039076
0	39185	33.875374
1	15776	13.638329
2	9434	8.155679
3	4828	4.1737986
4	1988	1.718623
5	581	0.5022736
6	166	0.14350675
7	33	0.02852845
8	12	0.010373982
9	5	0.0043224925
